,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Run Iteration,Inhib App Time Average,Inhib MPI Time Average,Inhib Total Messages Sent,Inhib Total Bytes Sent
566,8,2000000,0,0.1,1,360.0,360.0,24353280,48700000000000.0
567,8,20000,0,0.1,1,360.0,342.78348214285717,1640721600,32800000000000.0
568,8,200000,1000000,0.7,1,360.0,83.89999999999999,38701824,7740000000000.0
569,8,20000,1000000,0.3,0,360.0,7.089687500000001,21191296,424000000000.0
570,8,20000,1000,0.5,1,360.0,332.5267857142857,1346924544,26900000000000.0
571,8,2000,10000,0.7,3,360.0,329.640625,381970176,764000000000.0
572,8,20000,100,0.7,1,360.0,347.45535714285717,1182508992,23700000000000.0
573,8,40000,0,0.5,0,360.0,353.93526785714283,637034496,25500000000000.0
574,8,4000000,100000,0.1,1,360.0,319.0,8346240,33400000000000.0
575,8,200000,10000,0.1,1,360.0,285.1049107142857,145434240,29100000000000.0
576,8,200000,1000,1.0,0,360.0,358.0,156800448,31400000000000.0
577,8,4000000,0,0.1,3,360.0,360.0,9354240,37400000000000.0
578,8,400000,1000000,0.5,1,360.0,114.0,24686592,9870000000000.0
579,8,200000,1000000,0.3,2,361.0,37.79308035714286,19390336,3880000000000.0
580,8,40000,10000,0.5,0,360.0,296.8392857142857,577726464,23100000000000.0
581,8,400000,1000000,0.1,3,360.0,26.112946428571433,6733440,2690000000000.0
582,8,200000,1000000,1.0,1,361.0,109.0,50264256,10100000000000.0
583,8,20000,0,0.7,1,360.0,346.875,1365921984,27300000000000.0
584,8,400000,0,0.1,3,360.0,359.0,102090240,40800000000000.0
585,8,2000,10000,1.0,3,360.0,337.2611607142857,397908672,796000000000.0
586,8,40000,0,0.7,2,360.0,354.5,583892736,23400000000000.0
587,8,4000000,10000,0.5,0,360.0,359.0,7927808,31700000000000.0
588,8,20000,100000,0.1,0,360.0,16.442857142857147,69007680,1380000000000.0
589,8,2000000,1000,0.1,3,360.0,359.0,15019200,30000000000000.0
590,8,2000000,100000,0.7,1,363.0,353.0,15003968,30000000000000.0
591,8,40000,0,0.1,0,360.0,350.95982142857144,786219840,31400000000000.0
592,8,400000,100000,0.7,1,361.0,313.0,66325952,26500000000000.0
593,8,4000,0,1.0,2,360.0,355.55357142857144,453179328,1810000000000.0
594,8,2000,1000,0.5,1,360.0,351.80357142857144,442251264,885000000000.0
595,8,4000,100,0.5,1,360.0,350.88169642857144,726347776,2910000000000.0
596,8,400000,10000,0.5,1,360.0,353.0,62519296,25000000000000.0
597,8,2000,100,0.7,3,360.0,357.49776785714283,322515200,645000000000.0
598,8,200000,0,0.7,2,360.0,359.0,153825728,30800000000000.0
599,8,200000,0,0.1,1,360.0,358.0200892857143,150736320,30100000000000.0
600,8,2000000,10000,0.1,3,360.0,350.0,19293120,38600000000000.0
601,8,4000,0,0.5,2,360.0,353.16964285714283,619171840,2480000000000.0
602,8,20000,1000000,0.1,3,360.0,1.9405803571428575,7217280,144000000000.0
603,8,200000,1000,0.1,2,360.0,347.12723214285717,193818240,38800000000000.0
604,8,40000,1000000,0.3,0,361.0,10.7,21011200,840000000000.0
605,8,4000,1000000,0.5,0,361.0,13.26294642857143,34822144,139000000000.0
606,8,4000,100000,0.1,0,360.0,3.4834375,71507520,286000000000.0
607,8,2000000,1000,0.3,3,361.0,360.0,13987456,28000000000000.0
608,8,40000,1000,0.7,3,360.0,346.0424107142857,835314368,33400000000000.0
609,8,40000,0,0.3,1,360.0,353.53794642857144,565621504,22600000000000.0
610,8,2000,0,1.0,0,360.0,357.109375,433754496,868000000000.0
611,8,2000,10000,0.5,1,360.0,300.9732142857143,543305728,1090000000000.0
612,8,4000,10000,0.5,0,360.0,304.23214285714283,495237120,1980000000000.0
613,8,2000,100000,1.0,0,360.0,244.97098214285714,227490816,455000000000.0
614,8,4000,100000,0.7,0,360.0,209.55803571428572,207671744,831000000000.0
615,8,2000000,100000,1.0,2,361.0,353.00669642857144,13817664,27600000000000.0
616,8,200000,1000,0.5,0,360.0,357.0,166483968,33300000000000.0
617,8,200000,0,0.3,0,360.0,358.01339285714283,168509824,33700000000000.0
618,8,4000000,10000,0.3,2,362.0,361.0,7684096,30700000000000.0
619,8,4000000,10000,1.0,2,371.0,370.0,7609728,30400000000000.0
620,8,2000,1000000,0.5,0,361.0,23.25044642857143,33818624,67600000000.0
621,8,4000,100,0.5,0,360.0,352.04910714285717,626698240,2510000000000.0
622,8,400000,1000000,0.7,1,360.0,143.0,30428608,12200000000000.0
623,8,40000,100,0.5,2,360.0,351.69642857142856,741300224,29700000000000.0
624,8,20000,100000,0.1,3,360.0,16.02075892857143,69088320,1380000000000.0
625,8,400000,0,0.3,1,360.0,359.0,84705152,33900000000000.0
626,8,4000,1000,0.3,2,360.0,344.78125,514774400,2060000000000.0
627,8,20000,1000000,0.7,2,360.0,12.605357142857141,48657728,973000000000.0
628,8,2000000,1000,0.3,2,361.0,360.0,17349248,34700000000000.0
629,8,2000000,1000,0.5,1,363.0,362.0,14149632,28300000000000.0
630,8,4000000,10000,0.1,3,360.0,355.0,9817920,39300000000000.0
631,8,40000,1000,0.3,2,360.0,339.6919642857143,691508608,27700000000000.0
632,8,2000000,100000,1.0,3,360.0,353.0,13417152,26800000000000.0
633,8,2000000,1000,0.7,0,361.0,361.0,14022400,28000000000000.0
634,8,40000,10000,0.5,1,360.0,290.06919642857144,638941184,25600000000000.0
635,8,4000,100,1.0,3,360.0,354.3705357142857,512855616,2050000000000.0
636,8,4000000,100000,1.0,2,364.0,360.0,8410752,33600000000000.0
637,8,2000,1000000,1.0,1,360.0,73.97589285714285,57273216,115000000000.0
638,8,4000000,100000,0.5,1,363.0,355.0,7727104,30900000000000.0
639,8,4000,10000,0.7,0,360.0,324.09375,426421184,1710000000000.0
640,8,200000,1000,0.1,0,360.0,346.50892857142856,199402560,39900000000000.0
641,8,200000,10000,0.1,3,360.0,284.09375,147672000,29500000000000.0
642,8,2000,0,1.0,2,360.0,357.02901785714283,433754496,868000000000.0
643,8,200000,0,0.3,3,360.0,358.0,176974336,35400000000000.0
644,8,200000,1000000,0.7,0,360.0,84.0,38701824,7740000000000.0
645,8,40000,10000,0.7,2,360.0,308.95535714285717,636476736,25500000000000.0
646,8,2000,1000000,0.7,3,360.0,42.809821428571425,44451008,88900000000.0
647,8,2000,1000000,0.5,3,360.0,31.108035714285723,33015808,66000000000.0
648,8,400000,0,0.3,3,360.0,359.0,86205952,34500000000000.0
649,8,2000000,100000,0.7,0,363.0,352.0,15424640,30800000000000.0
650,8,2000,0,0.3,1,360.0,356.0625,461285888,923000000000.0
651,8,4000000,100,0.5,0,365.0,364.0,7827456,31300000000000.0
652,8,2000,0,0.7,3,360.0,357.72098214285717,342707456,685000000000.0
653,8,200000,0,0.7,0,360.0,359.0,144430720,28900000000000.0
654,8,200000,0,1.0,3,360.0,359.0,163208640,32600000000000.0
655,8,40000,100,0.3,0,360.0,349.47098214285717,749439488,30000000000000.0
656,8,40000,1000,0.3,1,360.0,337.62276785714283,761565952,30500000000000.0
657,8,400000,1000000,0.3,3,361.0,71.31540178571427,17349248,6940000000000.0
658,8,4000000,1000000,0.5,1,362.0,297.0,6522880,26100000000000.0
659,8,40000,100,1.0,1,360.0,353.4955357142857,760572288,30400000000000.0
660,8,40000,1000,0.7,2,360.0,348.79910714285717,685835584,27400000000000.0
661,8,400000,100000,0.3,2,360.0,258.0,60932480,24400000000000.0
662,8,200000,1000000,0.3,3,361.0,35.39999999999999,19510400,3900000000000.0
663,8,400000,100,1.0,0,360.0,360.0,75897024,30400000000000.0
664,8,2000000,0,1.0,0,361.0,361.0,15419712,30800000000000.0
665,8,20000,1000000,0.5,1,361.0,9.249062499999999,35223552,704000000000.0
666,8,20000,0,1.0,1,360.0,347.78125,1510330752,30200000000000.0
667,8,2000,1000000,0.1,3,361.0,0.4207075892857143,7257600,14500000000.0
668,8,40000,0,1.0,0,360.0,355.0,620993856,24800000000000.0
669,8,2000,100000,0.3,1,360.0,66.29955357142856,175173376,350000000000.0
670,8,200000,100000,1.0,1,360.0,296.0,126161280,25200000000000.0
671,8,2000000,1000,0.3,1,360.0,360.0,14887936,29800000000000.0
672,8,4000,0,0.7,1,360.0,355.5982142857143,400619968,1600000000000.0
673,8,40000,1000,1.0,0,360.0,349.8236607142857,825054720,33000000000000.0
674,8,2000,100,0.7,1,360.0,357.45089285714283,324338112,649000000000.0
675,8,200000,1000,0.5,3,360.0,357.0,166985728,33400000000000.0
676,8,4000000,100,0.7,0,361.0,361.0,7011200,28000000000000.0
677,8,400000,100,0.1,2,360.0,358.99107142857144,75297600,30100000000000.0
678,8,2000,1000,1.0,0,360.0,354.75,428948352,858000000000.0
679,8,2000,100000,0.1,1,360.0,9.130691964285715,70439040,141000000000.0
680,8,2000,100,1.0,2,360.0,356.75,433554240,867000000000.0
681,8,400000,0,0.7,2,360.0,360.0,65344384,26100000000000.0
682,8,200000,1000000,1.0,3,360.0,108.0,50464512,10100000000000.0
683,8,400000,1000,1.0,1,361.0,360.0,63881664,25600000000000.0
684,8,2000000,0,0.7,3,363.0,363.0,16546432,33100000000000.0
685,8,4000,100,0.3,0,360.0,344.51785714285717,1057343616,4230000000000.0
686,8,20000,1000,0.3,3,360.0,324.9174107142857,1178788352,23600000000000.0
687,8,4000000,10000,0.3,0,361.0,360.0,8644608,34600000000000.0
688,8,2000000,100,0.3,1,360.0,360.0,15128064,30300000000000.0
689,8,200000,10000,0.7,1,360.0,349.0044642857143,135316160,27100000000000.0
690,8,400000,10000,0.1,2,360.0,325.0,67656960,27100000000000.0
691,8,200000,1000,0.5,2,360.0,357.0,173207552,34600000000000.0
692,8,200000,1000000,0.3,1,361.0,33.5,19630464,3930000000000.0
693,8,200000,100000,0.5,2,360.0,240.0,119218176,23800000000000.0
694,8,2000,0,1.0,3,360.0,356.8861607142857,433554240,867000000000.0
695,8,20000,0,0.7,3,360.0,345.5044642857143,1513858304,30300000000000.0
696,8,4000000,1000000,0.5,0,362.0,289.0,7325696,29300000000000.0
697,8,4000,100,1.0,0,360.0,355.00223214285717,485220288,1940000000000.0
698,8,4000,1000,0.5,3,360.0,349.6875,464930816,1860000000000.0
699,8,4000000,10000,0.5,1,362.60044642857144,362.0,7727104,30900000000000.0
700,8,4000,100,0.7,0,360.0,354.04910714285717,475920256,1900000000000.0
701,8,20000,1000000,0.5,3,361.0,8.629508928571429,35323904,706000000000.0
702,8,4000000,0,1.0,1,364.0,363.0,8010240,32000000000000.0
703,8,4000000,1000,1.0,2,367.0,366.0,7209216,28800000000000.0
704,8,20000,100,0.3,2,360.0,342.328125,1295730688,25900000000000.0
705,8,2000000,100,0.5,0,360.0,360.0,13748224,27500000000000.0
706,8,4000000,1000,0.5,1,364.0,364.0,7827456,31300000000000.0
707,8,4000,10000,0.1,1,360.0,29.299330357142853,635060160,2540000000000.0
708,8,20000,0,0.3,1,360.0,345.13392857142856,1306356352,26100000000000.0
709,8,40000,1000000,1.0,0,361.0,31.170758928571427,65884224,2640000000000.0
710,8,2000,1000,0.5,0,360.0,352.7455357142857,415156224,830000000000.0
711,8,4000000,0,0.7,3,360.0,360.0,8974336,35900000000000.0
712,8,200000,100,0.7,1,360.0,358.96875,159294464,31900000000000.0
713,8,4000,100,0.7,3,360.0,354.43973214285717,443808960,1780000000000.0
714,8,400000,100000,1.0,1,361.0,332.0,56271936,22500000000000.0
715,8,200000,10000,1.0,1,360.0,352.0,152995584,30600000000000.0
716,8,20000,10000,0.1,0,360.0,114.94419642857143,474969600,9500000000000.0
717,8,400000,0,0.5,1,360.0,360.0,76568576,30600000000000.0
718,8,20000,1000000,0.5,2,360.0,8.72763392857143,35223552,704000000000.0
719,8,20000,0,0.3,3,360.0,346.1875,1270817408,25400000000000.0
720,8,2000000,10000,0.3,2,360.0,357.0,15608320,31200000000000.0
721,8,2000,0,0.5,1,360.0,357.7857142857143,328953856,658000000000.0
722,8,400000,1000,0.7,1,360.0,359.0,61838784,24700000000000.0
723,8,400000,1000,0.5,0,360.0,359.0,75063296,30000000000000.0
724,8,2000,100000,0.5,2,360.0,143.0625,215556096,431000000000.0
725,8,4000000,1000000,0.1,0,361.0,149.0,4273920,17100000000000.0
726,8,40000,100,0.1,3,360.0,344.79017857142856,765959040,30600000000000.0
727,8,20000,100,0.3,1,360.0,342.4330357142857,1289787520,25800000000000.0
728,8,40000,1000000,0.3,3,360.0,11.010044642857142,20951168,838000000000.0
729,8,200000,100,1.0,3,360.0,359.0,143984064,28800000000000.0
730,8,4000000,1000,0.5,3,361.0,360.0,7526400,30100000000000.0
731,8,200000,100,0.3,2,360.0,358.0,150800384,30200000000000.0
732,8,2000000,1000000,0.7,2,361.0,275.0,12059264,24100000000000.0
733,8,200000,0,0.3,1,360.0,358.0625,167729408,33500000000000.0
734,8,2000000,1000000,0.3,2,360.0,204.0,9364992,18700000000000.0
735,8,2000000,100,0.1,1,360.0,360.0,16692480,33400000000000.0
736,8,40000,1000000,0.1,3,361.0,4.355602678571429,7176960,287000000000.0
737,8,400000,1000000,0.1,0,361.0,26.5,6733440,2690000000000.0
738,8,2000,10000,0.5,2,360.0,299.796875,555147264,1110000000000.0
739,8,200000,1000,0.7,0,360.0,358.0,145552512,29100000000000.0
740,8,20000,1000,0.7,2,360.0,338.56026785714283,1296511104,25900000000000.0
741,8,4000000,10000,1.0,1,366.0,366.0,7209216,28800000000000.0
742,8,200000,1000000,0.7,3,361.0,82.92075892857143,38982272,7800000000000.0
743,8,2000,10000,1.0,0,360.0,337.0044642857143,398108928,796000000000.0
744,8,4000000,10000,0.1,1,360.0,355.0,10100160,40400000000000.0
745,8,200000,1000000,0.1,0,361.0,12.6875,7015680,1400000000000.0
746,8,4000,100000,1.0,1,360.0,241.11830357142858,233698752,935000000000.0
747,8,4000,0,1.0,1,360.0,354.59375,542293248,2170000000000.0
748,8,2000000,100,0.3,3,360.0,360.0,16148608,32300000000000.0
749,8,20000,100,0.3,3,360.0,344.30357142857144,1148472192,23000000000000.0
750,8,400000,100000,0.3,1,360.0,259.0,60452224,24200000000000.0
751,8,2000,1000,0.3,1,360.0,344.9888392857143,571744768,1140000000000.0
752,8,4000,0,1.0,3,360.0,354.9732142857143,490026432,1960000000000.0
753,8,40000,1000000,0.5,1,360.0,17.88995535714286,34320384,1370000000000.0
754,8,400000,100000,0.3,3,360.0,264.8861607142857,57090432,22800000000000.0
755,8,2000000,0,1.0,1,364.0,364.0,15820224,31600000000000.0
756,8,20000,100000,0.3,2,360.0,41.316517857142856,189881216,3800000000000.0
757,8,40000,100,0.1,1,360.0,345.421875,728280000,29100000000000.0
758,8,40000,100,0.7,1,360.0,351.921875,752722432,30100000000000.0
759,8,2000000,10000,0.7,3,362.0,361.0,14443072,28900000000000.0
760,8,2000000,1000,0.1,1,360.0,359.0,16067520,32100000000000.0
761,8,20000,0,0.3,2,360.0,347.09598214285717,1184311296,23700000000000.0
762,8,2000000,100,0.1,0,360.0,360.0,17256960,34500000000000.0
763,8,200000,100000,0.1,3,360.0,84.9310267857143,55298880,11100000000000.0
764,8,20000,100000,1.0,3,360.0,111.0,491628480,9830000000000.0
765,8,200000,10000,1.0,3,360.0,351.0,159003264,31800000000000.0
766,8,2000000,10000,0.1,0,360.0,352.0,15966720,31900000000000.0
767,8,200000,1000,0.1,1,360.0,347.64732142857144,183778560,36800000000000.0
768,8,400000,100,0.7,0,361.0,360.0,82171264,32900000000000.0
769,8,200000,1000,0.3,3,360.0,355.0,184418304,36900000000000.0
770,8,400000,10000,1.0,3,361.0,357.0,60477312,24200000000000.0
771,8,200000,100000,0.1,0,360.0,82.35267857142857,55823040,11200000000000.0
772,8,2000000,0,0.7,2,361.0,361.0,15564864,31100000000000.0
773,8,400000,1000000,1.0,1,361.0,174.0,37447872,15000000000000.0
774,8,4000000,100,1.0,0,363.0,363.0,7809984,31200000000000.0
775,8,2000000,100,0.1,2,360.0,360.0,18869760,37700000000000.0
776,8,2000,1000,0.7,3,360.0,354.60267857142856,357010304,714000000000.0
777,8,4000,1000,0.7,1,360.0,351.828125,426280960,1710000000000.0
