,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Inhib App Time Average Mean,Inhib App Time Average Median,Inhib App Time Average Std,Inhib MPI Time Average Mean,Inhib MPI Time Average Median,Inhib MPI Time Average Std,Inhib Total Messages Sent Mean,Inhib Total Messages Sent Median,Inhib Total Messages Sent Std,Inhib Total Bytes Sent Mean,Inhib Total Bytes Sent Median,Inhib Total Bytes Sent Std
12,8,200,25000,0.01,360.0,360.0,0.0,6.2314899553571435,3.216462053571429,6.141862183484759,31356080.0,31625440.0,545461.4643278356,5042575000.0,5085300000.0,85450000.00000009
13,8,200,25000,0.05,360.0,360.0,0.0,4.234581473214286,4.25703125,0.1441877789024021,144709376.0,144699072.0,52540.29706806249,27725200000.0,27725200000.0,0.0
14,8,200,50000,0.01,360.0,360.0,0.0,1.5118359375000001,1.547310267857143,0.07381184526534208,15971200.0,15970080.0,3167.8383797156234,2572800000.0,2572800000.0,0.0
15,8,200,50000,0.05,360.0,360.0,0.0,2.0816127232142856,2.094341517857143,0.20899998650285245,73256288.0,73256288.0,38092.296054014216,14012700000.0,14012700000.0,0.0
16,8,500,5000,0.01,360.0,360.0,0.0,14.45678013392857,11.041049107142857,10.284938772982867,150822000.0,152323360.0,4487100.9124377845,60445250000.0,61071500000.0,1800582197.5127935
17,8,500,5000,0.05,360.0,360.0,0.0,42.9421875,42.25625,24.843673546148356,628536272.0,629868064.0,49249173.11884649,300609250000.0,301109500000.0,23820377989.934025
18,8,500,10000,0.01,359.96875,360.0,0.06249999999999526,9.430803571428571,9.46892857142857,0.25572335233494276,76574400.0,76572160.0,67942.56397870329,30686275000.0,30661300000.0,50016688.88147902
19,8,500,10000,0.05,360.0,360.0,0.0,11.506529017857142,11.558258928571428,0.2591494705686955,348038208.0,348017600.0,270402.29995076463,166310525000.0,166060500000.0,500050000.00000256
20,8,500,25000,0.01,360.0,360.0,0.0,3.2447042410714286,3.2007254464285717,0.20568394139441676,31618720.0,31623200.0,17590.300357488213,12675300000.0,12675300000.0,57735026.9189623
21,8,500,25000,0.05,360.0,360.0,0.0,6.323515625000001,6.269966517857144,2.319554018253769,143846416.0,143864448.0,937772.5065423163,68825050000.0,68825050000.0,462053420.43245864
