,Num Nodes,App A,App B,Run Iteration,App A Time Average,App B Time Average,App A MPI Time Average,App B MPI Time Average,App A Total Messages Sent,App B Total Messages Sent,App A Total Bytes Sent,App B Total Bytes Sent
77,1,minivite,lammps,0,437.0,267.0,25.587142857142858,3.8325,747720,44688,143780111184.0,72722088150.0
78,8,beatnik,tricount,0,461.91964285714283,417.0,171.18526785714286,243.46428571428572,19996182,7120960,10926550043000.0,10200000956600.0
79,8,tricount,quicksilver,2,385.0,293.0,211.83258928571428,132.06939732142857,7120960,762710,10200000956600.0,160110400.0
80,8,kripke,quicksilver,0,356.0,292.86160714285717,18.129464285714285,131.50819196428571,302720,762710,388038679360.0,160110400.0
81,8,lammps,quicksilver,0,350.875,300.86830357142856,16.344308035714285,139.56410714285715,457408,762710,670420822000.0,160110400.0
82,8,beatnik,beatnik,3,443.0,441.03794642857144,152.89285714285714,152.54017857142858,19996182,19996182,10926550043000.0,0.0
83,1,tricount,lammps,1,280.0,264.0,50.160714285714285,3.404464285714286,243320,44688,2510000237640.0,72722088150.0
84,1,minife,lammps,0,384.0,276.0,10.348392857142857,4.069999999999999,637048,44688,40726202806.0,72722088150.0
85,8,tricount,laghos,1,385.0,397.0,210.984375,123.72321428571429,7120960,801311390,10200000956600.0,633722271800.0
86,1,beatnik,beatnik,2,370.0,373.0,83.65535714285714,85.51071428571427,375894,375894,1305996005380.0,0.0
87,8,amg,kripke,1,344.0,354.0,15.520535714285714,17.11875,106441449,302720,1008232000000.0,388038679360.0
88,8,beatnik,amg,2,409.89285714285717,345.0,116.13616071428571,19.203571428571426,19996182,106441449,10926550043000.0,1008232000000.0
89,8,lammps,amg,0,357.0,349.0,20.703549107142855,19.20580357142857,457408,106441449,670420822000.0,1008232000000.0
90,8,minivite,laghos,1,369.0,346.0,51.425446428571426,72.08459821428572,24089720,801311390,1134700459640.0,633722271800.0
91,8,beatnik,fiesta,1,399.0,353.828125,108.60133928571429,55.200446428571425,19996182,645120,10926550043000.0,1640000000000.0
92,8,fiesta,fiesta,1,356.2544642857143,353.64732142857144,66.3984375,52.583928571428565,645120,645120,1640000000000.0,0.0
93,8,tricount,minivite,1,395.0,382.0,221.15178571428572,62.19508928571429,7120960,24089720,10200000956600.0,1134700459640.0
94,1,beatnik,beatnik,1,375.0,370.75,86.09464285714284,82.5625,375894,375894,1305996005380.0,0.0
95,1,minivite,minivite,1,443.0,443.0,28.258928571428573,30.248214285714283,747720,747720,143780111184.0,0.0
96,8,minivite,fiesta,0,385.0,352.41517857142856,65.90200892857142,59.652008928571426,24089720,645120,1134700459640.0,1640000000000.0
