,App A,App B,Num Nodes,App A Time Average Mean,App A Time Average Median,App A Time Average Std,App B Time Average Mean,App B Time Average Median,App B Time Average Std,App A MPI Time Average Mean,App A MPI Time Average Median,App A MPI Time Average Std,App B MPI Time Average Mean,App B MPI Time Average Median,App B MPI Time Average Std,App A Total Messages Sent Mean,App A Total Messages Sent Median,App A Total Messages Sent Std,App B Total Messages Sent Mean,App B Total Messages Sent Median,App B Total Messages Sent Std,App A Total Bytes Sent Mean,App A Total Bytes Sent Median,App A Total Bytes Sent Std,App B Total Bytes Sent Mean,App B Total Bytes Sent Median,App B Total Bytes Sent Std
23,fiesta,kripke,8,359.3498883928571,358.94642857142856,4.0748905005262035,354.0,354.0,0.816496580927726,81.43064732142858,75.58705357142857,17.180368654227372,17.144866071428574,17.009151785714288,0.4691507994554392,645120.0,645120.0,0.0,302720.0,302720.0,0.0,1640000000000.0,1640000000000.0,0.0,388038679360.0,388038679360.0,0.0
24,fiesta,laghos,8,354.2622767857143,353.41517857142856,1.9063541115485967,339.5,340.5,5.066228051190224,64.03058035714285,57.48002232142857,14.44556280262479,64.66233258928571,65.44933035714286,4.5514478094582485,645120.0,645120.0,0.0,801311390.0,801311390.0,0.0,1640000000000.0,1640000000000.0,0.0,633722271800.0,633722271800.0,0.0
25,fiesta,quicksilver,8,355.65122767857144,353.21205357142856,5.238266675381224,298.5368303571429,299.0736607142857,5.015251472199615,66.92215401785714,56.117075892857144,23.374877572423685,137.40602120535715,137.9977232142857,4.9562975385766475,645120.0,645120.0,0.0,762710.0,762710.0,0.0,1640000000000.0,1640000000000.0,0.0,160110400.0,160110400.0,0.0
26,kripke,kripke,8,354.25,354.0,0.5,354.0,354.0,0.816496580927726,17.269921875,17.014955357142856,0.6202398814942758,16.884151785714288,16.705580357142857,0.5620392399076808,302720.0,302720.0,0.0,302720.0,302720.0,0.0,388038679360.0,388038679360.0,0.0,0.0,0.0,0.0
27,kripke,quicksilver,8,354.25,354.0,1.2583057392117973,295.0546875,294.93080357142856,3.5511110601293963,17.358872767857143,17.242745535714285,0.5707738522489323,133.880234375,133.62351562499998,3.5456974053232573,302720.0,302720.0,0.0,762710.0,762710.0,0.0,388038679360.0,388038679360.0,0.0,160110400.0,160110400.0,0.0
28,laghos,kripke,8,334.0,334.5,2.449489742783186,354.75,354.5,0.9574271077563381,59.42181919642857,59.981249999999996,2.7137206772012927,17.635546875,17.44174107142857,0.7165975046362377,801311390.0,801311390.0,0.0,302720.0,302720.0,0.0,633722271800.0,633722271800.0,0.0,388038679360.0,388038679360.0,0.0
29,laghos,laghos,8,323.0,324.0,6.324555320336766,324.2282366071429,326.0,5.713395803275338,48.58035714285714,49.31506696428571,6.529190293306966,49.698828125,51.76082589285714,6.041262109414546,801311390.0,801311390.0,0.0,801311390.0,801311390.0,0.0,633722271800.0,633722271800.0,0.0,0.0,0.0,0.0
30,laghos,quicksilver,8,321.75,320.5,4.787135538781688,296.5669642857143,297.5,3.880212114206241,46.92857142857143,45.57254464285714,4.55925756310527,135.54161272321429,136.4007142857143,3.841526903833628,801311390.0,801311390.0,0.0,762710.0,762710.0,0.0,633722271800.0,633722271800.0,0.0,160110400.0,160110400.0,0.0
31,lammps,amg,8,353.75,355.5,4.716990566028299,342.75,341.0,4.27200187265877,18.569659598214287,19.611439732142856,3.984309325996657,13.311166294642858,11.846127232142859,4.046941093065623,457408.0,457408.0,0.0,106441449.0,106441449.0,0.0,670420822000.0,670420822000.0,0.0,1008232000000.0,1008232000000.0,0.0
32,lammps,fiesta,1,266.25,266.5,1.707825127659933,297.8883928571429,297.9642857142857,0.7869815267650089,4.067232142857143,4.060803571428571,0.12204208631997951,37.01633928571429,37.87410714285714,2.4480751041504476,44688.0,44688.0,0.0,67200.0,67200.0,0.0,72722088150.0,72722088150.0,0.0,170600000000.0,170600000000.0,0.0
33,lammps,fiesta,8,353.5,352.0,6.806859285554052,358.0474330357143,357.49888392857144,5.585190577887321,17.449698660714287,16.651551339285717,4.831088695885977,72.45786830357143,70.13459821428572,21.9348672446595,457408.0,457408.0,0.0,645120.0,645120.0,0.0,670420822000.0,670420822000.0,0.0,1640000000000.0,1640000000000.0,0.0
34,lammps,kripke,8,349.25,349.0,3.7749172176353665,355.0,354.5,1.4142135623730983,14.448582589285715,14.370825892857145,2.704608858574417,17.70044642857143,17.331696428571426,0.9392751228637427,457408.0,457408.0,0.0,302720.0,302720.0,0.0,670420822000.0,670420822000.0,0.0,388038679360.0,388038679360.0,0.0
35,lammps,laghos,8,351.0,350.5,7.874007874011819,325.25,326.0,8.460693430998045,16.009285714285713,15.890022321428571,6.091826104209958,50.40457589285714,52.177008928571425,7.483767620134365,457408.0,457408.0,0.0,801311390.0,801311390.0,0.0,670420822000.0,670420822000.0,0.0,633722271800.0,633722271800.0,0.0
36,lammps,lammps,1,269.5,269.5,4.654746681256322,265.0,264.5,5.354126134736329,5.031071428571428,4.7682142857142855,0.9457840797508719,3.9353571428571428,3.5840178571428574,0.7311429437884911,44688.0,44688.0,0.0,44688.0,44688.0,0.0,72722088150.0,72722088150.0,0.0,0.0,0.0,0.0
37,lammps,lammps,8,349.75,350.0,2.9860788111948264,350.5,350.5,1.2909944487358056,15.155943080357142,15.361674107142855,0.8228785354366481,15.040200892857145,14.740412946428574,1.7279811620745111,457408.0,457408.0,0.0,457408.0,457408.0,0.0,670420822000.0,670420822000.0,0.0,0.0,0.0,0.0
38,lammps,quicksilver,8,352.46875,350.9375,5.208541662500161,298.4670758928571,297.9341517857143,6.227747742138036,17.430318080357143,15.96650669642857,3.5097959153382914,137.19175223214287,136.73551339285717,6.016193031244864,457408.0,457408.0,0.0,762710.0,762710.0,0.0,670420822000.0,670420822000.0,0.0,160110400.0,160110400.0,0.0
39,minife,amg,8,384.25,384.0,0.4999999999999952,341.0396205357143,341.07924107142856,0.8203327459438838,12.5094140625,12.228281249999998,0.6437410523717612,12.5648828125,12.68603794642857,0.47266421181345897,6788000.0,6788000.0,0.0,106441449.0,106441449.0,0.0,382248662610.0,382248662610.0,0.0,1008232000000.0,1008232000000.0,0.0
40,minife,fiesta,1,384.5,384.5,0.577350269189634,299.72767857142856,298.26785714285717,3.811273082383803,10.817366071428571,10.911696428571428,0.4052809970173375,38.49495535714286,38.59366071428571,1.1986360975569237,637048.0,637048.0,0.0,67200.0,67200.0,0.0,40726202806.0,40726202806.0,0.0,170600000000.0,170600000000.0,0.0
